,Идентификатор Scopus,Автор,Публикаций Scopus за 2020,Высокорейтинговых публикаций за 2020,Цитирований за 2020,Публикаций Scopus за 2021,Высокорейтинговых публикаций за 2021,Цитирований за 2021,Публикаций Scopus за 2022,Высокорейтинговых публикаций за 2022,Цитирований за 2022,Публикаций Scopus за 2020-2022,Высокорейтинговых публикаций за 2020-2022,Цитирований за 2020 - 2022,Цветков П.С. был процитирован,Бабырь Н.В. был процитирован
554,57208236206,Kuzkin A.Y.,1,0,0,0,0,1,0,0,1,1,0,2,0,0
555,57208318410,Iovlev G.A.,1,1,1,0,0,3,3,1,8,4,2,12,0,0
556,57208625767,Vinogradov Y.I.,1,0,0,2,2,0,0,0,3,3,2,3,0,0
557,57209136981,Munasypov R.,1,0,0,0,0,0,0,0,1,1,0,1,0,0
558,57209274431,Golod V.A.,0,0,0,1,0,0,0,0,3,1,0,3,0,0
559,57209454703,Efimov I.,0,0,0,2,2,0,3,1,20,5,3,20,2,0
560,57209774243,Vershinin M.I.,2,0,0,0,0,0,0,0,0,2,0,0,0,0
561,57209774531,Martynova E.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
562,57209806343,Tung L.V.,0,0,0,2,0,1,0,0,2,2,0,3,0,0
563,57209856764,Alattar A.L.,1,1,0,1,0,3,0,0,4,2,1,7,0,0
564,57210061429,Filatova I.,2,0,2,1,0,13,0,0,16,3,0,31,2,1
565,57210103208,Fedorov A.T.,0,0,0,1,1,0,2,0,8,3,1,8,0,0
